latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE
40.729865,-73.982917,"""407 E 12 St""",1,EAST VILLAGE,440,1114,"407 east 12th street, 3fe",3FE,10009,"1,530,000",407 east 12th street,1,0,1,2117,1216,94
40.729865,-73.982917,"""407 E 12 St""",1,EAST VILLAGE,440,1115,"407 east 12th street, 3fw",3FW,10009,"1,475,000",407 east 12th street,2,0,2,2000,2400,108
40.731116,-73.982463,"""400 East 14th Street""",1,EAST VILLAGE,441,1031,"400 east 14th street, 4e",4E,10009,"600,000",400 east 14th street,1,0,1,640,980,31
40.664021,-73.982288,"""421 13th Street""",1,EAST VILLAGE,441,1206,"421 east 13th street, 1b",1B,10009,"630,000",421 east 13th street,1,0,1,2000,1714,8
40.664021,-73.982288,"""421 13th Street""",1,EAST VILLAGE,441,1234,"421 east 13th street, 3l",3L,10009,"902,000",421 east 13th street,1,0,1,6000,2220,56
40.664021,-73.982288,"""421 13th Street""",1,EAST VILLAGE,441,1238,"421 east 13th street, 4a",4A,10009,"1,660,000",421 east 13th street,2,0,2,5208,3190,45
40.664021,-73.982288,"""421 13th Street""",1,EAST VILLAGE,441,1294,"421 east 13th street, phe",PHE,10009,"2,600,000",421 east 13th street,3,0,3,3150,4401,117
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1404,"24 2 avenue, 2c",2C,10003,"3,572,625",24 2 avenue,4,0,4,2500,2400,88
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1405,"24 2 avenue, 2d",2D,10003,"2,300,000",24 2 avenue,0,1,1,2500,2500,85
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1409,"24 2 avenue, 3d",3D,10003,"2,250,000",24 2 avenue,2,0,2,5000,1368,87
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1414,"24 2 avenue, 4d",4D,10003,"2,300,000",24 2 avenue,3,0,3,1688,3390,114
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1423,"24 2 avenue, 6d",6D,10003,"3,050,000",24 2 avenue,3,0,3,2003,3048,91
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1426,"24 2 avenue, 7c",7C,10003,"3,995,000",24 2 avenue,2,0,2,1710,1728,80
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1428,"24 2 avenue, 7e",7E,10003,"1,234,628",24 2 avenue,1,0,1,3157,1440,44
40.732538,-73.194208,"""24 2nd Avenue""",1,EAST VILLAGE,443,1430,"24 2 avenue, ph8b",PH8B,10003,"7,900,000",24 2 avenue,2,0,2,2746,2820,17
40.650607,-73.978915,"""72 E 3 St""",1,EAST VILLAGE,444,1019,"72 east 3rd street, 6a",6A,10003,"287,835",72 east 3rd street,2,0,2,3000,1980,12
40.650607,-73.978915,"""72 E 3 St""",1,EAST VILLAGE,444,1020,"72 east 3rd street, 6b",6B,10003,"1,300,000",72 east 3rd street,2,0,2,3680,2250,57
43.457097,-76.495542,"""240 East 10th Street""",1,EAST VILLAGE,451,1123,"240 east 10th street, 9c",9C,10003,"2,150,000",240 east 10th street,2,0,2,2500,1276,86
40.730071,-73.985387,"""311 East 11th Street""",1,EAST VILLAGE,453,1506,"311 east 11th street, 2b",2B,10003,"1,425,000",311 east 11th street,1,0,1,1768,1585,31
40.730071,-73.985387,"""311 East 11th Street""",1,EAST VILLAGE,453,1510,"311 east 11 street, 3a",3A,10003,"2,100,000",311 east 11 street,1,0,1,3800,912,57
40.730071,-73.985387,"""311 East 11th Street""",1,EAST VILLAGE,453,1514,"311 east 11th street, 3e",3E,10003,"1,900,000",311 east 11th street,2,0,2,3900,3110,48
40.730071,-73.985387,"""311 East 11th Street""",1,EAST VILLAGE,453,1531,"311 east 11th street, ph1b",PH1B,10003,"1,550,000",311 east 11th street,3,1,4,3426,6105,89
43.459387,-76.505335,"""52 East 4th Street""",1,EAST VILLAGE,459,1107,"52 east 4th street, 8",8,10003,"2,950,000",52 east 4th street,2,0,2,2338,3150,53
43.459387,-76.505335,"""52 East 4th Street""",1,EAST VILLAGE,459,1114,"52 east 4th street, ph3",PH3,10003,"4,600,000",52 east 4th street,1,0,1,2500,1292,92
40.729107,-73.989995,"""65 Cooper Sq""",1,EAST VILLAGE,463,1004,"65 cooper square, 2c",2C,10003,"1,065,000",65 cooper square,1,0,1,2411,1154,93
40.729053,-73.990033,"""63 Cooper Sq""",1,EAST VILLAGE,463,1010,"63 cooper square, 3a",3A,10003,"1,015,000",63 cooper square,2,0,2,1780,1482,98
40.729672,-73.98863,"""214 E 9 St""",1,EAST VILLAGE,464,1105,"214 east 9th street, 1c",1C,10003,"780,000",214 east 9th street,1,0,1,1800,1224,80
40.729672,-73.98863,"""214 E 9 St""",1,EAST VILLAGE,464,1106,"214 east 9th street, 1d",1D,10003,"800,000",214 east 9th street,1,0,1,4800,2163,100
40.729672,-73.98863,"""214 E 9 St""",1,EAST VILLAGE,464,1113,"214 east 9th street, 3c",3C,10003,"825,000",214 east 9th street,2,0,2,4150,2730,60
40.729236,-73.988927,"""15 St Marks Pl""",1,EAST VILLAGE,464,1206,"15 st. mark's place, 5a",5A,10003,"945,000",15 st. mark's place,3,0,3,2000,2850,112
40.914185,-73.811454,"""133 2nd Ave""",1,EAST VILLAGE,464,1302,"133 2 avenue, 1",1,10003,"1,850,000",133 2 avenue,2,1,3,1582,2600,94
40.914185,-73.811454,"""133 2nd Ave""",1,EAST VILLAGE,464,1304,"133 2 avenue, 3",3,10003,"1,250,000",133 2 avenue,0,1,1,4070,1288,35
40.914185,-73.811454,"""133 2nd Ave""",1,EAST VILLAGE,464,1306,"133 2 avenue, 5",5,10003,"1,250,000",133 2 avenue,2,0,2,2000,1490,88
40.728552,-73.252014,"""105 3rd Ave""",1,EAST VILLAGE,469,1004,"105 3 avenue, lla",LLA,10003,"805,600",105 3 avenue,2,0,2,1760,1669,79
40.732593,-73.987272,"""203 East 13th Street""",1,EAST VILLAGE,469,1007,"203 east 13th street, 2a",2A,10003,"2,725,000",203 east 13th street,1,0,1,3242,1899,83
40.732593,-73.987272,"""203 East 13th Street""",1,EAST VILLAGE,469,1008,"203 east 13th street, 2b",2B,10003,"2,725,000",203 east 13th street,2,0,2,1950,2398,59
43.038522,-78.878068,"""123 3rd Avenue""",1,EAST VILLAGE,469,1416,"123 3 avenue, 6a",6A,10003,"1,700,000",123 3 avenue,1,0,1,3600,1386,99
43.127068,-74.471138,"""123 Third Avenue""",1,EAST VILLAGE,469,1426,"123 third avenue, 8c",8C,10003,"1,287,500",123 third avenue,2,0,2,1800,1368,119
43.038522,-78.878068,"""123 3rd Avenue""",1,EAST VILLAGE,469,1434,"123 3 avenue, 10c",10C,10003,"1,380,000",123 3 avenue,60,0,60,12500,52980,90
40.732384,-73.986902,"""211 E 13 St""",1,EAST VILLAGE,469,1540,"211 east 13th street, 4c",4C,10003,"2,275,000",211 east 13th street,4,0,4,2000,3680,116
40.732384,-73.986902,"""211 E 13 St""",1,EAST VILLAGE,469,1558,"211 east 13th street, 5j",5J,10003,"1,340,000",211 east 13th street,1,0,1,5000,1496,80
40.732384,-73.986902,"""211 E 13 St""",1,EAST VILLAGE,469,1571,"211 east 13th street, ph1 a",PH1 A,10003,"2,995,000",211 east 13th street,2,0,2,3800,2000,43
40.732384,-73.986902,"""211 E 13 St""",1,EAST VILLAGE,469,1576,"211 east 13th street, ph1 f",PH1 F,10003,"1,950,000",211 east 13th street,2,0,2,2500,1886,97
41.933999,-73.982096,"""206 First Ave""",1,EAST VILLAGE,440,1004,"206 first avenue, 2a",2A,10009,"870,000",206 first avenue,186,5,191,15564,207284,52
40.729642,-73.982143,"""427 East 12th Street""",1,EAST VILLAGE,440,1305,"427 east 12th street, 3b",3B,10009,"1,100,000",427 east 12th street,1,0,1,2079,860,92
40.729642,-73.982143,"""427 East 12th Street""",1,EAST VILLAGE,440,1308,"427 east 12th street, 5a",5A,10009,"1,190,000",427 east 12th street,1,0,1,2634,1504,93
40.852451,-73.40789,"""79 E 2nd St""",1,EAST VILLAGE,443,1003,"79 east 2nd street, r2",R2,10003,"3,000,000",79 east 2nd street,2,0,2,3146,1673,5
40.723646,-73.989065,"""64 E 1 St""",1,EAST VILLAGE,443,1301,"64 east 1st street, th",TH,10003,"3,650,000",64 east 1st street,1,0,1,2500,855,87
40.723646,-73.989065,"""64 E 1 St""",1,EAST VILLAGE,443,1304,"64 east 1st street, 4",4,10003,"2,735,000",64 east 1st street,1,0,1,3100,1456,90
40.723646,-73.989065,"""64 E 1 St""",1,EAST VILLAGE,443,1305,"64 east 1st street, 5",5,10003,"2,800,000",64 east 1st street,2,0,2,2106,1696,117
